x	I	R	a	n	L	aE
89.7882	2.03706e+016	0.492004	2.03706e+016	0.459356	2.23662	2.81324e+017
89.567	1.97584e+016	0.491675	1.97584e+016	0.448362	2.37039	2.73542e+017
89.347	1.90053e+016	0.476917	1.90053e+016	0.444572	2.49628	2.63764e+017
89.128	1.83003e+016	0.452644	1.83003e+016	0.448467	2.57339	2.54604e+017
88.9101	1.77836e+016	0.426082	1.77836e+016	0.457852	2.58369	2.48022e+017
88.6932	1.751e+016	0.402673	1.751e+016	0.4697	2.53995	2.44803e+017
88.4774	1.74695e+016	0.385153	1.74695e+016	0.481473	2.46845	2.44833e+017
88.2627	1.76304e+016	0.374742	1.76304e+016	0.491317	2.39202	2.47689e+017
88.0489	1.79395e+016	0.372215	1.79395e+016	0.497488	2.32925	2.52643e+017
87.8363	1.82939e+016	0.37663	1.82939e+016	0.498983	2.29335	2.58258e+017
87.6246	1.85895e+016	0.384602	1.85895e+016	0.496834	2.28417	2.63065e+017
87.414	1.88032e+016	0.393377	1.88032e+016	0.492853	2.2921	2.66731e+017
87.2044	1.89464e+016	0.402261	1.89464e+016	0.487765	2.31224	2.69408e+017
86.9957	1.9015e+016	0.410485	1.9015e+016	0.48208	2.34273	2.71031e+017
86.7881	1.90191e+016	0.417468	1.90191e+016	0.476367	2.3801	2.71739e+017
86.5815	1.89681e+016	0.423307	1.89681e+016	0.470682	2.4238	2.71656e+017
86.3758	1.88442e+016	0.427347	1.88442e+016	0.465203	2.47538	2.70525e+017
86.1711	1.86346e+016	0.427556	1.86346e+016	0.461153	2.52934	2.68152e+017
85.9674	1.83994e+016	0.423145	1.83994e+016	0.460021	2.56852	2.65395e+017
85.7647	1.82447e+016	0.416942	1.82447e+016	0.461445	2.58133	2.63785e+017
85.5629	1.82268e+016	0.413124	1.82268e+016	0.463266	2.57569	2.64147e+017
85.362	1.83152e+016	0.414297	1.83152e+016	0.463101	2.57183	2.66053e+017
85.1621	1.84096e+016	0.419893	1.84096e+016	0.459881	2.58792	2.68052e+017
84.9631	1.84124e+016	0.426321	1.84124e+016	0.454765	2.62728	2.68721e+017
84.7651	1.83136e+016	0.430144	1.83136e+016	0.450031	2.6768	2.67904e+017
84.5679	1.81838e+016	0.431171	1.81838e+016	0.446824	2.72047	2.66625e+017
84.3717	1.80917e+016	0.431854	1.80917e+016	0.444427	2.75443	2.65892e+017
84.1764	1.80397e+016	0.434639	1.80397e+016	0.441178	2.79027	2.65742e+017
83.982	1.79554e+016	0.438984	1.79554e+016	0.43644	2.84228	2.65113e+017
83.7885	1.77941e+016	0.44214	1.77941e+016	0.431481	2.90776	2.63338e+017
83.5959	1.75874e+016	0.443461	1.75874e+016	0.427189	2.97623	2.60878e+017
83.4042	1.73477e+016	0.443896	1.73477e+016	0.423109	3.04977	2.57914e+017
83.2133	1.70334e+016	0.442177	1.70334e+016	0.419558	3.13166	2.53822e+017
83.0233	1.66513e+016	0.435939	1.66513e+016	0.418285	3.20371	2.48697e+017
82.8342	1.62952e+016	0.425759	1.62952e+016	0.42021	3.23934	2.43933e+017
82.6459	1.60614e+016	0.415384	1.60614e+016	0.424012	3.23581	2.40982e+017
82.4585	1.59562e+016	0.408217	1.59562e+016	0.427298	3.21895	2.39947e+017
82.272	1.59102e+016	0.40472	1.59102e+016	0.428769	3.21322	2.39797e+017
82.0863	1.58517e+016	0.403326	1.58517e+016	0.42861	3.22599	2.39457e+017
81.9014	1.57404e+016	0.402	1.57404e+016	0.427778	3.25208	2.38313e+017
81.7173	1.55739e+016	0.398947	1.55739e+016	0.427549	3.27767	2.36323e+017
81.5341	1.53952e+016	0.393733	1.53952e+016	0.428783	3.28723	2.34136e+017
81.3517	1.52518e+016	0.387236	1.52518e+016	0.431432	3.27525	2.32475e+017
81.1701	1.51781e+016	0.380558	1.51781e+016	0.435096	3.24328	2.31869e+017
80.9893	1.51981e+016	0.37484	1.51981e+016	0.439188	3.19733	2.32692e+017
80.8094	1.53373e+016	0.371335	1.53373e+016	0.443037	3.14444	2.35348e+017
80.6302	1.56158e+016	0.37238	1.56158e+016	0.445097	3.1005	2.40154e+017
80.4518	1.59747e+016	0.379626	1.59747e+016	0.443499	3.08819	2.46218e+017
80.2742	1.63068e+016	0.391823	1.63068e+016	0.438061	3.11572	2.51893e+017
80.0974	1.65386e+016	0.406188	1.65386e+016	0.430081	3.17685	2.56036e+017
79.9213	1.66603e+016	0.419739	1.66603e+016	0.421598	3.25456	2.58489e+017
79.7461	1.67632e+016	0.432135	1.67632e+016	0.413888	3.32649	2.60656e+017
79.5716	1.69462e+016	0.447504	1.69462e+016	0.405338	3.39509	2.6408e+017
79.3978	1.71843e+016	0.470002	1.71843e+016	0.393119	3.49011	2.68377e+017
79.2249	1.73561e+016	0.500566	1.73561e+016	0.375624	3.64606	2.71652e+017
79.0526	1.73007e+016	0.536133	1.73007e+016	0.353256	3.8984	2.71375e+017
78.8812	1.6895e+016	0.57019	1.6895e+016	0.328507	4.28202	2.65587e+017
78.7104	1.60927e+016	0.595384	1.60927e+016	0.304871	4.83486	2.53523e+017
78.5404	1.49439e+016	0.606005	1.49439e+016	0.286129	5.57247	2.35935e+017
78.3711	1.36019e+016	0.601434	1.36019e+016	0.274732	6.43039	2.15211e+017
78.2026	1.22417e+016	0.585797	1.22417e+016	0.270684	7.24394	1.94108e+017
78.0348	1.09846e+016	0.564319	1.09846e+016	0.272331	7.8171	1.7455e+017
77.8677	9.88433e+015	0.541244	9.88433e+015	0.277494	8.04365	1.57403e+017
77.7013	8.93404e+015	0.519203	8.93404e+015	0.284223	7.95751	1.42574e+017
77.5356	8.09244e+015	0.499103	8.09244e+015	0.291369	7.6501	1.2942e+017
77.3707	7.31567e+015	0.480794	7.31567e+015	0.298527	7.18984	1.17246e+017
77.2064	6.56629e+015	0.4637	6.56629e+015	0.305721	6.60812	1.0546e+017
77.0428	5.81434e+015	0.44678	5.81434e+015	0.313427	5.90061	9.35814e+016
76.8799	5.05957e+015	0.428683	5.05957e+015	0.322551	5.06096	8.1606e+016
76.7178	4.34572e+015	0.408934	4.34572e+015	0.333613	4.15879	7.02405e+016
76.5562	3.71705e+015	0.388367	3.71705e+015	0.346185	3.3162	6.0206e+016
76.3954	3.18696e+015	0.367985	3.18696e+015	0.359533	2.6084	5.17286e+016
76.2352	2.75189e+015	0.348393	2.75189e+015	0.373117	2.05057	4.47606e+016
76.0758	2.40492e+015	0.329959	2.40492e+015	0.386543	1.62893	3.9199e+016
75.9169	2.13506e+015	0.312961	2.13506e+015	0.399471	1.31832	3.48733e+016
75.7588	1.92681e+015	0.297513	1.92681e+015	0.411681	1.09062	3.15376e+016
75.6013	1.76441e+015	0.283543	1.76441e+015	0.423108	0.921414	2.89396e+016
75.4444	1.63575e+015	0.270894	1.63575e+015	0.433786	0.793085	2.68851e+016
75.2882	1.53253e+015	0.25939	1.53253e+015	0.443784	0.693796	2.52408e+016
75.1327	1.4492e+015	0.248882	1.4492e+015	0.453171	0.615722	2.39178e+016
74.9778	1.38176e+015	0.239248	1.38176e+015	0.462001	0.553479	2.28518e+016
74.8235	1.32697e+015	0.230389	1.32697e+015	0.470324	0.503179	2.1991e+016
74.6698	1.28196e+015	0.222216	1.28196e+015	0.478183	0.461879	2.12889e+016
74.5168	1.24435e+015	0.214651	1.24435e+015	0.485621	0.427379	2.07066e+016
74.3644	1.21204e+015	0.207614	1.21204e+015	0.492688	0.397977	2.02103e+016
74.2127	1.18384e+015	0.201031	1.18384e+015	0.499434	0.372548	1.97804e+016
